slot_id,record_id,layer,practice,axis,pipeline,flag,fail_mode,rollback
INS-00001,E20,archive,nomalloc_hot_path,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00002,E13,catalog,nomalloc_hot_path,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00003,S11,android,nomalloc_hot_path,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00004,E20,native_c,nomalloc_hot_path,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00005,E13,asm_contract,nomalloc_hot_path,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00006,S11,federated_data,nomalloc_hot_path,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00007,E20,security,nomalloc_hot_path,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00008,E13,observability,nomalloc_hot_path,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00009,S11,enterprise,nomalloc_hot_path,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00010,E20,rollback,nomalloc_hot_path,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00011,E13,archive,q16_16,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00012,S11,catalog,q16_16,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00013,E20,android,q16_16,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00014,E13,native_c,q16_16,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00015,S11,asm_contract,q16_16,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00016,E20,federated_data,q16_16,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00017,E13,security,q16_16,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
INS-00018,S11,observability,q16_16,x_implementation,generic_safe,DOC_ONLY,invalid_input,status_downgrade
